"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 21 15:59:16 GMT 2021","Thu Jan 21 15:59:17 GMT 2021","259","","List of Offers","","List of Offers","should verify the offers in list","should verify the offers in list",""
"passed","Thu Jan 21 15:59:16 GMT 2021","Thu Jan 21 15:59:16 GMT 2021","8","","List of Offers","","List of Offers","should be on the '/shop/offers' page ","should be on the '/shop/offers' page ",""
"passed","Wed Jan 20 23:20:03 GMT 2021","Wed Jan 20 23:20:04 GMT 2021","1387","","Navigate to Deals","","Navigate to Deals","should see the prices of the offers","should see the prices of the offers",""
"passed","Wed Jan 20 09:54:57 GMT 2021","Wed Jan 20 09:54:57 GMT 2021","51","","Sky Keyword Search","","Sky Keyword Search","should see the keyword in an image and verify the value","should see the keyword in an image and verify the value",""
"passed","Thu Jan 21 16:13:13 GMT 2021","Thu Jan 21 16:14:14 GMT 2021","60994","","Invalid Credentials","","Invalid Credentials","should navigate to Sign In ","should navigate to Sign In ",""
"broken","Thu Jan 21 15:05:43 GMT 2021","Thu Jan 21 15:06:59 GMT 2021","76876","","List of Offers","","List of Offers","""before all"" hook for List of Offers","""before all"" hook for List of Offers",""
"passed","Wed Jan 20 09:52:57 GMT 2021","Wed Jan 20 09:54:27 GMT 2021","89964","","Sky Keyword Search","","Sky Keyword Search","should click the search icon ","should click the search icon ",""
"broken","Thu Jan 21 01:03:30 GMT 2021","Thu Jan 21 01:03:49 GMT 2021","19761","","Navigate to Deals","","Navigate to Deals","""before all"" hook for Navigate to Deals","""before all"" hook for Navigate to Deals",""
"broken","Wed Jan 20 19:41:14 GMT 2021","Wed Jan 20 19:42:45 GMT 2021","90798","","Invalid Credentials","","Invalid Credentials","""before each"" hook for Invalid Credentials","""before each"" hook for Invalid Credentials",""
"broken","Wed Jan 20 19:41:14 GMT 2021","Wed Jan 20 19:42:45 GMT 2021","90801","","Sky Home page","","Sky Home page","""before all"" hook for Sky Home page","""before all"" hook for Sky Home page",""
"passed","Wed Jan 20 09:54:27 GMT 2021","Wed Jan 20 09:54:56 GMT 2021","28341","","Sky Keyword Search","","Sky Keyword Search","should search for keyword and verify the text value","should search for keyword and verify the text value",""
"broken","Thu Jan 21 16:14:14 GMT 2021","Thu Jan 21 16:14:23 GMT 2021","8789","","Invalid Credentials","","Invalid Credentials","should try Sign In with Invalid credentials","should try Sign In with Invalid credentials",""
"skipped","Thu Jan 21 16:06:57 GMT 2021","Thu Jan 21 16:06:57 GMT 2021","0","","Invalid Credentials","","Invalid Credentials","should try Sign In with Invalid credentials","should try Sign In with Invalid credentials",""
"broken","Wed Jan 20 19:41:14 GMT 2021","Wed Jan 20 19:42:45 GMT 2021","90805","","Sky Keyword Search","","Sky Keyword Search","""before all"" hook for Sky Keyword Search","""before all"" hook for Sky Keyword Search",""
"passed","Wed Jan 20 09:54:56 GMT 2021","Wed Jan 20 09:54:57 GMT 2021","986","","Sky Keyword Search","","Sky Keyword Search","should show Editorial Section","should show Editorial Section",""
"passed","Wed Jan 20 23:59:03 GMT 2021","Wed Jan 20 23:59:49 GMT 2021","46004","","Invalid Credentials","","Invalid Credentials","should clear Overlay Modal","should clear Overlay Modal",""
"broken","Wed Jan 20 17:29:09 GMT 2021","Wed Jan 20 17:29:09 GMT 2021","406","","Navigate to Deals","","Navigate to Deals","user should get the page url","user should get the page url",""
"passed","Thu Jan 21 15:57:43 GMT 2021","Thu Jan 21 15:59:16 GMT 2021","92437","","List of Offers","","List of Offers","should navigate to /shop/offers","should navigate to /shop/offers",""
"passed","Wed Jan 20 23:32:20 GMT 2021","Wed Jan 20 23:32:20 GMT 2021","212","","Navigate to Deals","","Navigate to Deals","should see list of offers","should see list of offers",""
"passed","Thu Jan 21 15:59:16 GMT 2021","Thu Jan 21 15:59:16 GMT 2021","255","","List of Offers","","List of Offers","should see list of offers with price to it","should see list of offers with price to it",""
"passed","Wed Jan 20 23:32:20 GMT 2021","Wed Jan 20 23:32:20 GMT 2021","12","","Navigate to Deals","","Navigate to Deals","should be on the 'shop/offers' page and verify url","should be on the 'shop/offers' page and verify url",""
"passed","Thu Jan 21 16:00:34 GMT 2021","Thu Jan 21 16:01:10 GMT 2021","36463","","List of Offers","","List of Offers","should see list of prices to it","should see list of prices to it",""
"passed","Thu Jan 21 15:38:26 GMT 2021","Thu Jan 21 15:39:35 GMT 2021","69543","","List of Offers","","List of Offers","should see list os section to it","should see list os section to it",""
"failed","Thu Jan 21 16:20:40 GMT 2021","Thu Jan 21 16:20:40 GMT 2021","39","","Navigate to Deals","","Navigate to Deals","should be on the right page","should be on the right page",""
"broken","Thu Jan 21 16:19:18 GMT 2021","Thu Jan 21 16:20:40 GMT 2021","81768","","Navigate to Deals","","Navigate to Deals","should navigate to Deals","should navigate to Deals",""
